title,description,keywords,category,year
Inception,Un voleur qui s'infiltre dans les rêves des gens se voit confier la tâche d'implanter une idée.,rêve; subconscient; braquage,Sci-Fi,2010
Interstellar,Une équipe d'explorateurs voyage à travers un trou de ver dans l'espace pour tenter de sauver l'humanité.,espace; trou de ver; survie,Sci-Fi,2014
The Dark Knight,"Batman s'allie au lieutenant Gordon pour démanteler les organisations criminelles de Gotham, mais fait face au Joker.",super-héros; chaos; vengeance,Action,2008
Le Parrain,Le patriarche vieillissant d'une dynastie du crime organisé transfère le contrôle de son empire clandestin à son fils réticent.,mafia; famille; crime,Drame,1972
Pulp Fiction,"Les vies de deux hommes de main, d'un boxeur, de la femme d'un gangster et de deux braqueurs s'entremêlent.",crime; drogue; destin,Thriller,1994
Matrix,Un pirate informatique découvre par de mystérieux rebelles la véritable nature de sa réalité et son rôle dans la guerre contre ses contrôleurs.,réalité virtuelle; ia; rébellion,Sci-Fi,1999
Le Seigneur des Anneaux : La Communauté de l'Anneau,Un jeune Hobbit hérite d'un anneau magique et doit entreprendre un voyage périlleux pour le détruire.,magie; quête; elfes,Fantasy,2001
Gladiator,Un ancien général romain cherche à se venger de l'empereur corrompu qui a assassiné sa famille et l'a envoyé en esclavage.,Rome; vengeance; arène,Action,2000
Forrest Gump,L'histoire de la vie d'un homme à faible QI qui a accompli de grandes choses au milieu des événements historiques du 20ème siècle.,histoire; amour; destin,Drame,1994
Fight Club,Un employé de bureau insomniaque et un fabricant de savon insouciant forment un club de combat clandestin.,insomnie; violence; psychologie,Drame,1999
Les Évadés,"Deux hommes emprisonnés se lient d'amitié sur plusieurs années, trouvant la rédemption par des actes de décence commune.",prison; espoir; amitié,Drame,1994
Star Wars: Épisode V,"Les rebelles sont dispersés par l'Empire. Luke Skywalker s'entraîne avec Maître Yoda, tandis que ses amis sont poursuivis par Dark Vador.",espace; empire; jedi,Sci-Fi,1980
Le Silence des Agneaux,Une jeune agente du FBI sollicite l'aide d'un tueur en série cannibale incarcéré pour attraper un autre tueur en série.,fbi; tueur en série; psychologie,Thriller,1991
La Ligne Verte,"La vie de gardiens de prison dans le couloir de la mort est affectée par l'un de leurs détenus, qui a un don mystérieux.",prison; surnaturel; injustice,Drame,1999
Le Voyage de Chihiro,"Pendant le déménagement de sa famille, une jeune fille erre dans un monde gouverné par des dieux, des sorcières et des esprits.",animation; esprits; magie,Fantasy,2001
Les Aventuriers de l'arche perdue,"En 1936, un archéologue et aventurier est engagé par le gouvernement américain pour retrouver l'Arche d'Alliance avant les nazis.",archéologie; nazis; aventure,Action,1981
Retour vers le futur,Un lycéen est renvoyé accidentellement 30 ans dans le passé dans une machine à voyager dans le temps inventée par son ami scientifique.,voyage dans le temps; voiture; adolescence,Sci-Fi,1985
Le Roi Lion,"Le prince lionceau Simba et son père sont ciblés par son oncle amer, qui veut monter sur le trône à leur place.",animation; animaux; royauté,Animation,1994
Jurassic Park,Un parc à thème pragmatique souffre d'une panne de courant majeure qui permet à ses dinosaures clonés de se déchaîner.,dinosaures; survie; génétique,Sci-Fi,1993
Terminator 2,"Un cyborg, identique à celui qui a échoué à tuer Sarah Connor, doit maintenant protéger son fils adolescent.",cyborg; futur; ia,Action,1991
Le Pianiste,Un musicien juif polonais lutte pour survivre à la destruction du ghetto de Varsovie pendant la Seconde Guerre mondiale.,guerre; survie; musique,Drame,2002
Intouchables,"Après un accident de parapente, un aristocrate engage un jeune homme de banlieue pour être son aide à domicile.",amitié; handicap; humour,Comédie,2011
Amélie Poulain,Une serveuse innocente et naïve à Paris décide d'aider les gens autour d'elle et découvre l'amour.,paris; amour; destin,Comédie,2001
Shining,Une famille se dirige vers un hôtel isolé pour l'hiver où une présence sinistre pousse le père à la violence.,folie; isolement; hôtel,Horreur,1980
Alien,L'équipage d'un vaisseau spatial commercial intercepte un appel de détresse provenant d'une planète extraterrestre.,extraterrestre; espace; monstre,Horreur,1979
Parasite,"La famille de Ki-taek, au chômage, s'intéresse particulièrement à la riche famille Park, jusqu'à ce qu'ils soient mêlés à un incident inattendu.",lutte des classes; arnaque; société,Thriller,2019
Mad Max: Fury Road,"Dans un désert post-apocalyptique, une femme se rebelle contre un dirigeant tyrannique à la recherche de sa patrie.",post-apocalyptique; voitures; désert,Action,2015
Spider-Man: New Generation,L'adolescent Miles Morales devient le Spider-Man de son univers et doit se joindre à d'autres Spider-Men pour arrêter une menace.,animation; super-héros; multivers,Animation,2018
Dune,L'adaptation du roman de Frank Herbert concernant le fils d'une famille noble chargé de protéger l'élément le plus précieux de la galaxie.,sable; prophétie; épice,Sci-Fi,2021
Oppenheimer,L'histoire du scientifique américain J. Robert Oppenheimer et de son rôle dans le développement de la bombe atomique.,science; guerre; histoire,Drame,2023
Le Prestige,Deux magiciens rivaux se livrent une guerre d'illusions qui les pousse à franchir des limites dangereuses.,magie; rivalité; obsession,Thriller,2006
Blade Runner,Un policier doit traquer des androïdes rebelles dans un futur dystopique.,androïdes; futur; enquête,Sci-Fi,1982
Her,Un homme solitaire développe une relation avec une intelligence artificielle avancée.,ia; amour; futur,Sci-Fi,2013
La Route,Un père et son fils tentent de survivre dans un monde post-apocalyptique.,survie; apocalypse; famille,Drame,2009
Moon,Un employé lunaire découvre un secret troublant sur sa mission et sur lui-même.,lune; solitude; mystère,Sci-Fi,2009
Ex Machina,Un jeune programmeur est invité à tester une intelligence artificielle humanoïde.,ia; manipulation; robot,Sci-Fi,2014
Arrival,Une linguiste tente de communiquer avec des extraterrestres arrivés sur Terre.,extraterrestres; langage; temps,Sci-Fi,2016
Looper,Un tueur à gages découvre que sa prochaine cible est son futur lui-même.,temps; paradoxe; crime,Action,2012
Minority Report,Un policier est accusé d'un meurtre qu'il n'a pas encore commis.,précognition; futur; enquête,Sci-Fi,2002
Gravity,Deux astronautes dérivent dans l'espace après la destruction de leur navette.,espace; survie; catastrophe,Sci-Fi,2013
Seven,Deux détectives traquent un tueur en série obsédé par les sept péchés capitaux.,tueur; enquête; péchés,Thriller,1995
Gone Girl,La disparition d'une femme devient une affaire médiatique qui cache de sombres secrets.,mariage; manipulation; mystère,Thriller,2014
